tau_hat,benefit_$,cost_$
25.213369016735964,31.516711270919956,2.0
25.213369016735964,31.516711270919956,2.0
25.206577016825214,31.508221271031516,2.0
25.19619550246959,31.495244378086987,2.0
25.190540534115787,31.488175667644732,2.0
25.185680832407392,31.482101040509242,2.0
25.157890577683723,31.447363222104656,2.0
25.15695698901052,31.44619623626315,2.0
25.1455571111476,31.4319463889345,2.0
25.133263289141205,31.416579111426508,2.0
25.13314942870278,31.416436785878474,2.0
25.121969595085613,31.402461993857017,2.0
25.121202150169257,31.40150268771157,2.0
25.119309406056114,31.399136757570144,2.0
25.10340045346359,31.379250566829487,2.0
25.097438682352056,31.37179835294007,2.0
25.087593011419248,31.35949126427406,2.0
25.087593011419248,31.35949126427406,2.0
25.07957034386305,31.349462929828814,2.0
25.0742573249472,31.342821656184,2.0
25.04975274710109,31.31219093387636,2.0
25.028417236756745,31.285521545945933,2.0
25.023546291435814,31.27943286429477,2.0
25.019870938028376,31.27483867253547,2.0
25.018410022290848,31.27301252786356,2.0
25.012796933888065,31.265996167360083,2.0
25.01212373249553,31.265154665619413,2.0
25.00849671272741,31.260620890909262,2.0
25.00834072934644,31.26042591168305,2.0
25.006354899494777,31.257943624368473,2.0
25.00031783414361,31.25039729267951,2.0
24.99678953718929,31.24598692148661,2.0
24.99595558182494,31.244944477281177,2.0
24.99504433402159,31.243805417526985,2.0
24.989400039095884,31.236750048869855,2.0
24.98404060399289,31.230050754991115,2.0
24.98178536187108,31.227231702338848,2.0
24.977220797997656,31.22152599749707,2.0
24.96797857563504,31.2099732195438,2.0
24.957493094590134,31.196866368237668,2.0
24.95536867115675,31.19421083894594,2.0
24.942214471224883,31.177768089031105,2.0
24.930868058715404,31.163585073394255,2.0
24.91064466022955,31.13830582528694,2.0
24.9059961840249,31.132495230031125,2.0
24.896556951005635,31.120696188757044,2.0
24.885319618027705,31.10664952253463,2.0
24.88213803739115,31.102672546738937,2.0
24.86551100146565,31.08188875183206,2.0
24.857331907735865,31.071664884669833,2.0
24.84234665838831,31.052933322985385,2.0
24.83351307360602,31.041891342007524,2.0
24.828668729923468,31.035835912404334,2.0
24.81749139812854,31.021864247660673,2.0
24.813819361470483,31.017274201838102,2.0
24.813197443188656,31.01649680398582,2.0
24.806375652169404,31.007969565211756,2.0
24.802149811117506,31.00268726389688,2.0
24.797125595836256,30.996406994795322,2.0
24.79241407320812,30.99051759151015,2.0
24.775887962794283,30.969859953492854,2.0
24.771544976835536,30.96443122104442,2.0
24.764055300295208,30.95506912536901,2.0
24.76394026139201,30.95492532674001,2.0
24.75469952740235,30.94337440925294,2.0
24.73730258892208,30.9216282361526,2.0
24.66709539371251,30.83386924214064,2.0
24.66709539371251,30.83386924214064,2.0
24.66027003060187,30.825337538252334,2.0
24.6574699210067,30.821837401258378,2.0
24.656449945166383,30.82056243145798,2.0
24.656449945166383,30.82056243145798,2.0
24.648472860742043,30.810591075927555,2.0
24.63702253058568,30.7962781632321,2.0
24.627684070569355,30.784605088211695,2.0
24.627684070569355,30.784605088211695,2.0
24.61730349027091,30.771629362838638,2.0
24.614728211056715,30.768410263820893,2.0
24.614139781144274,30.767674726430343,2.0
24.606308759124264,30.75788594890533,2.0
24.59881404945288,30.7485175618161,2.0
24.59881404945288,30.7485175618161,2.0
24.58679583928523,30.733494799106538,2.0
